,연번,시도,시군구,읍면동,화재발생(년),화재발생(월),화재발생(일),화재발생(시),화재발생(분),요일,인명피해(명)소계,사망,부상,재산피해소계,화재유형,발화요인대분류,발화요인소분류,최초착화물대분류,최초착화물소분류,발화관련기기대분류,발화관련기기소분류,장소대분류,장소중분류,장소소분류,차량장소
12585,12586,서울특별시,송파구,거여동,2022,4,8,22,15,금,0,0,0,14,"건축,구조물",부주의,음식물 조리중,식품,음식물,,,주거,공동주택,아파트,
12588,12589,서울특별시,중구,장충동2가,2022,4,8,23,8,금,0,0,0,52,"건축,구조물",미상,미상,"종이,목재,건초등",종이,사무기기,기타(사무기기),"판매,업무시설",공공기관,기타 공공기관,
12604,12605,서울특별시,강동구,고덕동,2022,4,9,4,56,토,0,0,0,143,"건축,구조물",전기적 요인,층간단락,"전기,전자",전선피복,기타,기타,생활서비스,일상서비스,독서실,
12623,12624,서울특별시,구로구,신도림동,2022,4,9,9,43,토,0,0,0,332,"건축,구조물",부주의,담배꽁초,"종이,목재,건초등","목재, 합판",,,산업시설,공장시설,금속기계 및 기구공업,
12635,12636,서울특별시,양천구,목동,2022,4,9,10,45,토,0,0,0,80,"건축,구조물",부주의,음식물 조리중,식품,음식물,,,주거,공동주택,아파트,
12646,12647,서울특별시,은평구,갈현동,2022,4,9,11,53,토,0,0,0,97,"건축,구조물",전기적 요인,미확인단락,기타,기타,,,생활서비스,음식점,한식,
12679,12680,서울특별시,영등포구,양평동3가,2022,4,9,13,59,토,0,0,0,49,"건축,구조물",부주의,담배꽁초,쓰레기류,재활용,,,생활서비스,일상서비스,고시원(원룸텔),
12698,12699,서울특별시,용산구,한남동,2022,4,9,15,17,토,0,0,0,12,"건축,구조물",부주의,담배꽁초,쓰레기류,쓰레기,,,"판매,업무시설",일반업무,기타 일반업무시설,
12699,12700,서울특별시,강남구,청담동,2022,4,9,15,18,토,0,0,0,463,"건축,구조물",부주의,기타(부주의),"전기,전자","기타(전기,전자)",,,생활서비스,음식점,한식,
12719,12720,서울특별시,강동구,암사동,2022,4,9,16,28,토,0,0,0,150,"건축,구조물",부주의,가연물 근접방치,합성수지,기타(합성수지),주방기기,가스렌지,주거,공동주택,다세대주택,
12721,12722,서울특별시,송파구,신천동,2022,4,9,16,31,토,0,0,0,55,기타(쓰레기 화재등),부주의,담배꽁초,쓰레기류,쓰레기,,,기타,야외,쓰레기,
12728,12729,서울특별시,강서구,방화동,2022,4,9,17,1,토,0,0,0,123,"건축,구조물",부주의,담배꽁초,쓰레기류,폐목재,,,주거,단독주택,단독주택,
12729,12730,서울특별시,강동구,천호동,2022,4,9,17,9,토,0,0,0,111,"건축,구조물",화학적 요인,기타(화학적요인),"침구,직물류","기타(침구,직물류)",계절용 기기,전기장판/담요/방석류,주거,공동주택,주상복합아파트,
12739,12740,서울특별시,동작구,신대방동,2022,4,9,18,23,토,0,0,0,0,기타(쓰레기 화재등),부주의,담배꽁초,"종이,목재,건초등",종이,,,기타,야외,쓰레기,
12744,12745,서울특별시,강남구,논현동,2022,4,9,18,48,토,0,0,0,134,"건축,구조물",부주의,기타(부주의),"전기,전자",전선피복,,,기타서비스,기타건축물,기타 건축물,
12754,12755,서울특별시,양천구,신월동,2022,4,9,19,54,토,0,0,0,620,임야,미상,미상,"종이,목재,건초등","풀, 나뭇잎",,,임야,들불,기타 들불,
12758,12759,서울특별시,서초구,서초동,2022,4,9,20,32,토,0,0,0,1081,기타(쓰레기 화재등),부주의,담배꽁초,"종이,목재,건초등",나무,,,기타,야외,기타야외,
12759,12760,서울특별시,서대문구,홍은동,2022,4,9,20,58,토,0,0,0,8,"건축,구조물",부주의,가연물 근접방치,합성수지,"플라스틱, PVC, 비닐, 장판",,,"판매,업무시설",일반업무,오피스텔,
12776,12777,서울특별시,송파구,방이동,2022,4,9,23,50,토,0,0,0,9,"건축,구조물",부주의,음식물 조리중,식품,음식물,,,"판매,업무시설",일반업무,오피스텔,
12780,12781,서울특별시,영등포구,신길동,2022,4,10,0,18,일,0,0,0,1,임야,부주의,담배꽁초,기타,기타,,,임야,들불,숲,
12786,12787,서울특별시,금천구,가산동,2022,4,10,1,9,일,0,0,0,12,"건축,구조물",부주의,음식물 조리중,기타,기타,,,주거,단독주택,상가주택(주택부분에서 화재가 발생한 경우에만 해당),
12787,12788,서울특별시,마포구,합정동,2022,4,10,1,27,일,0,0,0,1919,"건축,구조물",화학적 요인,자연발화,"침구,직물류","기타(침구,직물류)",,,생활서비스,일상서비스,기타 일상서비스,
12791,12792,서울특별시,중구,남창동,2022,4,10,3,14,일,0,0,0,496,"건축,구조물",부주의,가연물 근접방치,미상,미상,계절용 기기,전기히터/스토브,집합시설,종교시설,교회,
12792,12793,서울특별시,강서구,마곡동,2022,4,10,3,16,일,0,0,0,835,"건축,구조물",전기적 요인,접촉불량에 의한 단락,"전기,전자",전자기기 부속품,주방기기,기타(주방기기),"판매,업무시설",일반업무,오피스텔,
12849,12850,서울특별시,은평구,불광동,2022,4,10,13,22,일,0,0,0,139,"자동차,철도차량",부주의,담배꽁초,"종이,목재,건초등",종이,,,"자동차,철도차량",자동차,화물자동차,주차장
12850,12851,서울특별시,관악구,신림동,2022,4,10,13,24,일,0,0,0,79,"건축,구조물",부주의,담배꽁초,"종이,목재,건초등","목재, 합판",,,주거,단독주택,상가주택(주택부분에서 화재가 발생한 경우에만 해당),
12855,12856,서울특별시,중랑구,묵동,2022,4,10,13,46,일,0,0,0,11,"건축,구조물",부주의,담배꽁초,쓰레기류,쓰레기,,,산업시설,창고시설,"창고, 물품저장소",
12874,12875,서울특별시,서초구,양재동,2022,4,10,15,19,일,0,0,0,440,"자동차,철도차량",기계적 요인,"오일,연료누설",기타,기타,,,"자동차,철도차량",자동차,승용자동차,주차장
12875,12876,서울특별시,송파구,송파동,2022,4,10,15,23,일,0,0,0,49,기타(쓰레기 화재등),부주의,담배꽁초,"종이,목재,건초등",종이,,,기타,야외,쓰레기,
12881,12882,서울특별시,서대문구,현저동,2022,4,10,15,53,일,0,0,0,2783,"건축,구조물",전기적 요인,절연열화에 의한 단락,미상,미상,전기설비,인버터/컨버터,주거,공동주택,아파트,
12887,12888,서울특별시,광진구,화양동,2022,4,10,16,22,일,0,0,0,10500,"건축,구조물",미상,미상,쓰레기류,재활용,,,주거,단독주택,단독주택,
12893,12894,서울특별시,종로구,평창동,2022,4,10,17,0,일,0,0,0,0,기타(쓰레기 화재등),미상,미상,쓰레기류,폐목재,,,기타,야외,쓰레기,
12912,12913,서울특별시,금천구,독산동,2022,4,10,19,3,일,0,0,0,29538,"건축,구조물",부주의,음식물 조리중,식품,음식물,,,주거,단독주택,다가구주택,
12920,12921,서울특별시,용산구,이태원동,2022,4,10,19,47,일,0,0,0,17,기타(쓰레기 화재등),부주의,쓰레기 소각,"종이,목재,건초등",종이,,,기타,야외,공터,
12922,12923,서울특별시,강남구,자곡동,2022,4,10,20,2,일,0,0,0,202,"건축,구조물",미상,미상,미상,미상,,,생활서비스,음식점,한식,
12923,12924,서울특별시,용산구,한강로3가,2022,4,10,20,11,일,0,0,0,37,"건축,구조물",부주의,음식물 조리중,식품,음식물,,,주거,단독주택,단독주택,
12925,12926,서울특별시,도봉구,도봉동,2022,4,10,20,45,일,0,0,0,308,"건축,구조물",미상,미상,미상,미상,,,주거,단독주택,다가구주택,
12936,12937,서울특별시,성동구,하왕십리동,2022,4,10,22,16,일,0,0,0,0,"건축,구조물",부주의,음식물 조리중,식품,음식물,,,주거,기타주택,기타 주택,
12944,12945,서울특별시,은평구,대조동,2022,4,10,23,25,일,0,0,0,38,"건축,구조물",미상,미상,"종이,목재,건초등",종이,,,주거,단독주택,다가구주택,
12947,12948,서울특별시,송파구,가락동,2022,4,10,23,32,일,0,0,0,440,"자동차,철도차량",전기적 요인,절연열화에 의한 단락,"자동차,철도차량,선박,항공기",부품,,,"자동차,철도차량",자동차,오토바이,일반도로
12951,12952,서울특별시,서대문구,남가좌동,2022,4,11,0,1,월,0,0,0,11,"건축,구조물",부주의,음식물 조리중,식품,음식물,,,생활서비스,음식점,일반주점,
12958,12959,서울특별시,서초구,서초동,2022,4,11,1,31,월,0,0,0,374,"건축,구조물",부주의,기타(부주의),"전기,전자","콘센트, 스위치류",,,생활서비스,일상서비스,관리사무소,
12960,12961,서울특별시,강서구,방화동,2022,4,11,2,29,월,0,0,0,483,"건축,구조물",미상,미상,"전기,전자",전자기기 부속품,주방기기,냉장고,주거,공동주택,아파트,
12969,12970,서울특별시,영등포구,영등포동7가,2022,4,11,6,33,월,2,2,0,15615,"건축,구조물",미상,미상,미상,미상,,,생활서비스,일상서비스,고시원(원룸텔),
12982,12983,서울특별시,강남구,수서동,2022,4,11,10,17,월,0,0,0,50,"건축,구조물",부주의,음식물 조리중,식품,튀김유,,,주거,공동주택,아파트,
12993,12994,서울특별시,노원구,상계동,2022,4,11,11,34,월,0,0,0,0,기타(쓰레기 화재등),부주의,담배꽁초,쓰레기류,쓰레기,,,기타,야외,쓰레기,
12994,12995,서울특별시,양천구,목동,2022,4,11,11,37,월,0,0,0,129,"건축,구조물",부주의,"기기(전기, 기계 등) 사용.설치부주의",합성수지,"플라스틱, PVC, 비닐, 장판",주방기기,가스렌지,주거,공동주택,다세대주택,
13008,13009,서울특별시,강북구,미아동,2022,4,11,13,21,월,0,0,0,18701,"건축,구조물",전기적 요인,트래킹에 의한 단락,"전기,전자","전기, 전자기기 내부배선",전기설비,배전반/분전반,주거,단독주택,상가주택(주택부분에서 화재가 발생한 경우에만 해당),
13010,13011,서울특별시,강남구,신사동,2022,4,11,13,31,월,0,0,0,66,"건축,구조물",부주의,담배꽁초,쓰레기류,재활용,,,생활서비스,음식점,한식,
13028,13029,서울특별시,용산구,한강로2가,2022,4,11,15,45,월,0,0,0,45,"자동차,철도차량",기타,기타,"침구,직물류","기타(침구,직물류)",,,"자동차,철도차량",철도차량,기타(철도차량),기타 도로
13032,13033,서울특별시,송파구,잠실동,2022,4,11,16,33,월,0,0,0,22,기타(쓰레기 화재등),부주의,담배꽁초,"종이,목재,건초등","기타(종이,목재,건초등)",,,기타,야외,쓰레기,
13033,13034,서울특별시,성동구,성수동2가,2022,4,11,16,34,월,0,0,0,7,"건축,구조물",부주의,담배꽁초,쓰레기류,쓰레기,,,"판매,업무시설",일반업무,일반빌딩,
13037,13038,서울특별시,서초구,내곡동,2022,4,11,17,45,월,0,0,0,4510,"건축,구조물",전기적 요인,미확인단락,"종이,목재,건초등","목재, 합판",,,기타서비스,기타건축물,기타 건축물,
13045,13046,서울특별시,동대문구,답십리동,2022,4,11,18,55,월,0,0,0,55,"건축,구조물",부주의,음식물 조리중,식품,음식물,,,주거,공동주택,아파트,
13058,13059,서울특별시,강서구,내발산동,2022,4,11,21,21,월,0,0,0,95,기타(쓰레기 화재등),부주의,담배꽁초,쓰레기류,쓰레기,,,기타,야외,쓰레기,
13062,13063,서울특별시,강서구,방화동,2022,4,11,22,42,월,0,0,0,1625,"건축,구조물",전기적 요인,미확인단락,"전기,전자",전선피복,,,생활서비스,일상서비스,기타 일상서비스,
13070,13071,서울특별시,성동구,성수동1가,2022,4,12,0,36,화,0,0,0,30,"건축,구조물",전기적 요인,접촉불량에 의한 단락,"전기,전자","전기, 전자기기 내부배선",,,주거,단독주택,다가구주택,
13072,13073,서울특별시,강동구,길동,2022,4,12,1,7,화,0,0,0,1342,"건축,구조물",부주의,담배꽁초,쓰레기류,쓰레기,,,주거,공동주택,다세대주택,
13074,13075,서울특별시,송파구,마천동,2022,4,12,1,15,화,0,0,0,5,기타(쓰레기 화재등),부주의,담배꽁초,"종이,목재,건초등",종이,,,기타,야외,쓰레기,
13094,13095,서울특별시,관악구,신림동,2022,4,12,10,58,화,0,0,0,77,기타(쓰레기 화재등),부주의,담배꽁초,쓰레기류,쓰레기,,,기타,도로,기타도로,
13116,13117,서울특별시,강남구,역삼동,2022,4,12,13,54,화,0,0,0,24,"건축,구조물",부주의,담배꽁초,쓰레기류,기타 쓰레기,,,기타서비스,기타건축물,기타 건축물,
13127,13128,서울특별시,강동구,성내동,2022,4,12,14,47,화,0,0,0,7154,"자동차,철도차량",전기적 요인,미확인단락,"자동차,철도차량,선박,항공기","기타(자동차,철도차량,선박,항공기)","차량, 선박부품","기타(차량,선박부품)","자동차,철도차량",건설기계,기타 건설기계,일반도로
13147,13148,서울특별시,도봉구,도봉동,2022,4,12,16,48,화,0,0,0,0,임야,부주의,담배꽁초,"종이,목재,건초등",나무,,,임야,산불,국유림,
13164,13165,서울특별시,성동구,성수동1가,2022,4,12,18,46,화,0,0,0,53,"건축,구조물",제품결함,제조상결함,"전기,전자","콘센트, 스위치류",계절용 기기,기타(계절용기기),생활서비스,일상서비스,기타 일상서비스,
13168,13169,서울특별시,동작구,상도동,2022,4,12,20,1,화,0,0,0,58,"건축,구조물",부주의,가연물 근접방치,합성수지,"플라스틱, PVC, 비닐, 장판",,,주거,공동주택,기타 공동주택,
13174,13175,서울특별시,동대문구,전농동,2022,4,12,21,47,화,0,0,0,13114,"건축,구조물",전기적 요인,미확인단락,미상,미상,,,주거,단독주택,단독주택,
13188,13189,서울특별시,노원구,월계동,2022,4,13,2,19,수,0,0,0,50,"건축,구조물",부주의,음식물 조리중,식품,음식물,,,생활서비스,음식점,한식,
13210,13211,서울특별시,도봉구,방학동,2022,4,13,9,20,수,0,0,0,12,"건축,구조물",부주의,음식물 조리중,식품,음식물,,,주거,단독주택,다중주택,
13216,13217,서울특별시,영등포구,영등포동3가,2022,4,13,9,55,수,0,0,0,471,"건축,구조물",화학적 요인,자연발화,식품,기타(식품),,,생활서비스,음식점,"치킨,족발",
13223,13224,서울특별시,중랑구,신내동,2022,4,13,10,58,수,0,0,0,154,"자동차,철도차량",부주의,가연물 근접방치,"종이,목재,건초등",종이,,,"자동차,철도차량",자동차,화물자동차,일반도로
13228,13229,서울특별시,성동구,금호동3가,2022,4,13,12,28,수,0,0,0,308,"자동차,철도차량",기계적 요인,"과열, 과부하","자동차,철도차량,선박,항공기","기타(자동차,철도차량,선박,항공기)","차량, 선박부품",브레이크장치,"자동차,철도차량",자동차,화물자동차,일반도로
13243,13244,서울특별시,중랑구,신내동,2022,4,13,15,36,수,0,0,0,176,"건축,구조물",부주의,"용접, 절단, 연마",합성수지,발포폴리스티렌,,,주거,공동주택,주상복합아파트,
13245,13246,서울특별시,동작구,상도1동,2022,4,13,16,22,수,1,0,1,2970,"자동차,철도차량",부주의,가연물 근접방치,"종이,목재,건초등",종이,,,"자동차,철도차량",자동차,화물자동차,일반도로
13247,13248,서울특별시,영등포구,문래동4가,2022,4,13,16,42,수,0,0,0,251,"건축,구조물",미상,미상,미상,미상,,,산업시설,공장시설,금속기계 및 기구공업,
13249,13250,서울특별시,강서구,방화동,2022,4,13,17,38,수,0,0,0,330,"자동차,철도차량",전기적 요인,"누전,지락","자동차,철도차량,선박,항공기",전기배선,,,"자동차,철도차량",건설기계,굴삭기,공지
13250,13251,서울특별시,서대문구,창천동,2022,4,13,17,46,수,0,0,0,193,"건축,구조물",기타,기타,"종이,목재,건초등","목재, 합판",,,생활서비스,음식점,기타 음식점,
13254,13255,서울특별시,서대문구,연희동,2022,4,13,18,23,수,1,0,1,88,"건축,구조물",부주의,"불씨,불꽃,화원방치","침구,직물류",의류,,,주거,단독주택,단독주택,
13262,13263,서울특별시,노원구,공릉동,2022,4,13,20,37,수,0,0,0,115,"건축,구조물",전기적 요인,과부하/과전류,"전기,전자",전자기기 부속품,"조명, 간판",LED조명,주거,공동주택,아파트,
13265,13266,서울특별시,강동구,길동,2022,4,13,22,56,수,0,0,0,2,기타(쓰레기 화재등),부주의,담배꽁초,쓰레기류,쓰레기,,,기타,야외,쓰레기,
13276,13277,서울특별시,강북구,번동,2022,4,14,4,32,목,0,0,0,4312,"건축,구조물",전기적 요인,과부하/과전류,"전기,전자",전자기기 부속품,생활기기,전기안마기/맛사지,"판매,업무시설",일반업무,일반회사,
13281,13282,서울특별시,영등포구,신길동,2022,4,14,5,46,목,0,0,0,0,기타(쓰레기 화재등),부주의,담배꽁초,쓰레기류,쓰레기,,,기타,야외,쓰레기,
13285,13286,서울특별시,관악구,신림동,2022,4,14,7,40,목,0,0,0,1,"건축,구조물",부주의,담배꽁초,"종이,목재,건초등","기타(종이,목재,건초등)",,,주거,공동주택,연립주택,
13295,13296,서울특별시,강북구,미아동,2022,4,14,11,42,목,0,0,0,4620,"자동차,철도차량",미상,미상,"자동차,철도차량,선박,항공기",부품,"차량, 선박부품","기타(차량,선박부품)","자동차,철도차량",자동차,승용자동차,일반도로
13296,13297,서울특별시,중구,신당동,2022,4,14,11,43,목,0,0,0,36586,"건축,구조물",부주의,음식물 조리중,기타,기타,주방기기,가스렌지,생활서비스,음식점,기타 음식점,
13299,13300,서울특별시,강동구,둔촌동,2022,4,14,12,14,목,0,0,0,99,"자동차,철도차량",미상,미상,"전기,전자",전선피복,"차량, 선박부품","기타(차량,선박부품)","자동차,철도차량",자동차,승용자동차,일반도로
13300,13301,서울특별시,영등포구,여의도동,2022,4,14,12,57,목,0,0,0,35,"건축,구조물",부주의,"용접, 절단, 연마",쓰레기류,기타 쓰레기,산업장비,기타(산업장비),"판매,업무시설",일반업무,일반빌딩,
13301,13302,서울특별시,송파구,거여동,2022,4,14,13,6,목,0,0,0,5,"건축,구조물",부주의,음식물 조리중,식품,음식물,,,주거,공동주택,아파트,
13307,13308,서울특별시,관악구,봉천동,2022,4,14,13,51,목,0,0,0,51,"건축,구조물",부주의,담배꽁초,"종이,목재,건초등",종이,,,집합시설,운동시설,기타 운동시설,
13310,13311,서울특별시,용산구,용산동2가,2022,4,14,15,22,목,0,0,0,8,"건축,구조물",부주의,"기기(전기, 기계 등) 사용.설치부주의",기타,기타,생활기기,건조기,산업시설,공장시설,그 밖의 공업,
13311,13312,서울특별시,송파구,삼전동,2022,4,14,15,22,목,0,0,0,11,"건축,구조물",전기적 요인,접촉불량에 의한 단락,"전기,전자","콘센트, 스위치류",배선/배선기구,스위치 멀티탭,주거,단독주택,다가구주택,
13323,13324,서울특별시,송파구,풍납동,2022,4,14,18,15,목,0,0,0,714,"건축,구조물",전기적 요인,절연열화에 의한 단락,"전기,전자","콘센트, 스위치류",,,주거,공동주택,아파트,
13327,13328,서울특별시,송파구,장지동,2022,4,14,20,3,목,0,0,0,2079,"자동차,철도차량",부주의,담배꽁초,"종이,목재,건초등",종이,,,"자동차,철도차량",자동차,화물자동차,고속도로
13328,13329,서울특별시,노원구,상계동,2022,4,14,20,15,목,0,0,0,900,"건축,구조물",부주의,음식물 조리중,식품,음식물,,,"판매,업무시설",판매시설,상점가,
13338,13339,서울특별시,영등포구,신길동,2022,4,14,23,1,목,0,0,0,8518,"건축,구조물",방화,방화,미상,미상,,,생활서비스,음식점,한식,
13339,13340,서울특별시,강서구,가양동,2022,4,14,23,8,목,0,0,0,73,기타(쓰레기 화재등),부주의,담배꽁초,쓰레기류,쓰레기,,,기타,도로,기타도로,
13342,13343,서울특별시,강남구,논현동,2022,4,15,0,17,금,0,0,0,10053,"건축,구조물",부주의,음식물 조리중,기타,기타,,,생활서비스,음식점,중식,
13350,13351,서울특별시,영등포구,영등포동3가,2022,4,15,3,24,금,3,1,2,59232,"건축,구조물",방화,방화,"종이,목재,건초등",종이,,,생활서비스,음식점,한식,
13351,13352,서울특별시,강남구,삼성동,2022,4,15,3,29,금,0,0,0,123,"건축,구조물",부주의,"기기(전기, 기계 등) 사용.설치부주의","침구,직물류",의류,주방기기,전기레인지,"판매,업무시설",일반업무,오피스텔,
13353,13354,서울특별시,강남구,신사동,2022,4,15,4,55,금,0,0,0,135,"건축,구조물",부주의,"불씨,불꽃,화원방치","종이,목재,건초등",종이,,,생활서비스,음식점,기타 음식점,
13363,13364,서울특별시,서초구,반포동,2022,4,15,9,31,금,0,0,0,934,"건축,구조물",기타,기타,"종이,목재,건초등","목재, 합판",,,"판매,업무시설",일반업무,일반빌딩,
13376,13377,서울특별시,성동구,성수동2가,2022,4,15,11,55,금,0,0,0,45,기타(쓰레기 화재등),미상,미상,"종이,목재,건초등","풀, 나뭇잎",,,기타,야외,쓰레기,
13386,13387,서울특별시,서대문구,홍제동,2022,4,15,13,16,금,0,0,0,0,기타(쓰레기 화재등),부주의,"불씨,불꽃,화원방치","종이,목재,건초등","풀, 나뭇잎",,,기타,야외,기타야외,
13387,13388,서울특별시,용산구,효창동,2022,4,15,13,35,금,0,0,0,121,"건축,구조물",전기적 요인,미확인단락,"전기,전자","전기, 전자기기 내부배선",주방기기,기타(주방기기),주거,공동주택,다세대주택,
13396,13397,서울특별시,강북구,미아동,2022,4,15,14,32,금,0,0,0,11,"건축,구조물",부주의,담배꽁초,쓰레기류,쓰레기,,,"판매,업무시설",숙박시설,호텔,
13401,13402,서울특별시,양천구,신정동,2022,4,15,15,10,금,0,0,0,268,"건축,구조물",부주의,담배꽁초,"종이,목재,건초등",종이,,,기타서비스,기타건축물,기타 건축물,
13402,13403,서울특별시,송파구,잠실동,2022,4,15,15,12,금,0,0,0,401,기타(쓰레기 화재등),부주의,담배꽁초,쓰레기류,쓰레기,,,기타,야외,쓰레기,
13403,13404,서울특별시,구로구,개봉동,2022,4,15,15,15,금,0,0,0,49,"건축,구조물",전기적 요인,접촉불량에 의한 단락,"전기,전자","콘센트, 스위치류",,,생활서비스,음식점,한식,
13412,13413,서울특별시,성동구,성수동2가,2022,4,15,15,46,금,0,0,0,4444,"건축,구조물",부주의,"불씨,불꽃,화원방치",기타,기타,,,산업시설,작업장,기타 작업장,
13423,13424,서울특별시,강남구,신사동,2022,4,15,16,51,금,0,0,0,2974,"건축,구조물",전기적 요인,미확인단락,"전기,전자",전선피복,,,"판매,업무시설",일반업무,일반빌딩,
13441,13442,서울특별시,도봉구,쌍문동,2022,4,15,20,55,금,0,0,0,346,"건축,구조물",부주의,음식물 조리중,식품,기타(식품),,,생활서비스,음식점,기타 음식점,
13443,13444,서울특별시,금천구,시흥동,2022,4,15,21,4,금,0,0,0,18,"건축,구조물",부주의,담배꽁초,"종이,목재,건초등","목재, 합판",,,생활서비스,오락시설,노래연습장,
13446,13447,서울특별시,은평구,갈현동,2022,4,15,21,49,금,0,0,0,3033,"자동차,철도차량",미상,미상,미상,미상,"차량, 선박부품","기타(차량,선박부품)","자동차,철도차량",자동차,승용자동차,주차장
13452,13453,서울특별시,구로구,개봉동,2022,4,15,23,2,금,0,0,0,338,"건축,구조물",기계적 요인,"과열, 과부하",합성수지,"플라스틱, PVC, 비닐, 장판",계절용 기기,전기히터/스토브,주거,공동주택,아파트,
13459,13460,서울특별시,은평구,진관동,2022,4,16,0,29,토,0,0,0,25,"건축,구조물",부주의,음식물 조리중,식품,음식물,,,주거,공동주택,아파트,
13481,13482,서울특별시,중구,충무로3가,2022,4,16,8,6,토,0,0,0,22,기타(쓰레기 화재등),부주의,담배꽁초,쓰레기류,쓰레기,,,기타,야외,쓰레기,
13491,13492,서울특별시,금천구,가산동,2022,4,16,9,42,토,0,0,0,11,"건축,구조물",부주의,음식물 조리중,식품,음식물,,,주거,공동주택,아파트,
13493,13494,서울특별시,서초구,서초동,2022,4,16,9,54,토,0,0,0,410,"건축,구조물",전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,,,교육시설,"연구,학원","기타 연구,학원",
13496,13497,서울특별시,금천구,가산동,2022,4,16,10,13,토,1,0,1,192,"건축,구조물",부주의,"기기(전기, 기계 등) 사용.설치부주의","전기,전자",전선피복,,,산업시설,공장시설,그 밖의 공업,
13498,13499,서울특별시,동대문구,장안동,2022,4,16,10,55,토,0,0,0,55,기타(쓰레기 화재등),부주의,담배꽁초,"종이,목재,건초등",종이,,,기타,도로,기타도로,
13499,13500,서울특별시,서대문구,홍은동,2022,4,16,11,15,토,0,0,0,174,"건축,구조물",부주의,빨래삶기,"침구,직물류",의류,,,주거,공동주택,아파트,
13507,13508,서울특별시,강남구,대치동,2022,4,16,12,59,토,0,0,0,251,기타(쓰레기 화재등),부주의,담배꽁초,기타,기타,,,기타,야외,기타야외,
13520,13521,서울특별시,중랑구,상봉동,2022,4,16,13,50,토,0,0,0,51,"건축,구조물",부주의,"용접, 절단, 연마",합성수지,발포폴리스티렌,,,산업시설,창고시설,"창고, 물품저장소",
13536,13537,서울특별시,노원구,상계동,2022,4,16,15,6,토,0,0,0,56,"건축,구조물",부주의,담배꽁초,쓰레기류,쓰레기,,,"판매,업무시설",일반업무,일반빌딩,
13537,13538,서울특별시,종로구,관훈동,2022,4,16,15,8,토,0,0,0,89,기타(쓰레기 화재등),부주의,담배꽁초,"종이,목재,건초등",종이,,,기타,야외,쓰레기,
13543,13544,서울특별시,송파구,오금동,2022,4,16,15,54,토,0,0,0,118,기타(쓰레기 화재등),부주의,담배꽁초,"종이,목재,건초등",종이,,,기타,야외,쓰레기,
13544,13545,서울특별시,광진구,구의동,2022,4,16,15,57,토,0,0,0,303,"건축,구조물",부주의,담배꽁초,쓰레기류,쓰레기,,,생활서비스,일상서비스,고시원(원룸텔),
13547,13548,서울특별시,성북구,종암동,2022,4,16,16,25,토,0,0,0,291,"건축,구조물",부주의,담배꽁초,미상,미상,,,"판매,업무시설",판매시설,상가빌딩,
13548,13549,서울특별시,송파구,석촌동,2022,4,16,16,33,토,0,0,0,96,기타(쓰레기 화재등),부주의,담배꽁초,"종이,목재,건초등",종이,,,기타,야외,쓰레기,
13549,13550,서울특별시,구로구,온수동,2022,4,16,16,36,토,0,0,0,111,기타(쓰레기 화재등),부주의,쓰레기 소각,"종이,목재,건초등",잔디,,,기타,야외,기타야외,
13550,13551,서울특별시,관악구,남현동,2022,4,16,16,38,토,1,0,1,3998,"건축,구조물",전기적 요인,"압착,손상에 의한 단락","전기,전자",전선피복,사무기기,프린터,주거,공동주택,다세대주택,
13568,13569,서울특별시,송파구,잠실동,2022,4,16,18,9,토,0,0,0,14,"건축,구조물",부주의,음식물 조리중,식품,음식물,,,주거,공동주택,아파트,
13575,13576,서울특별시,노원구,월계동,2022,4,16,19,6,토,0,0,0,143,"건축,구조물",부주의,담배꽁초,쓰레기류,쓰레기,,,주거,단독주택,다가구주택,
13585,13586,서울특별시,종로구,예지동,2022,4,16,19,57,토,0,0,0,136,"건축,구조물",부주의,담배꽁초,"종이,목재,건초등","목재, 합판",,,"판매,업무시설",판매시설,기타 판매시설,
13586,13587,서울특별시,관악구,신림동,2022,4,16,20,44,토,0,0,0,165,기타(쓰레기 화재등),부주의,담배꽁초,쓰레기류,쓰레기,,,기타,야외,쓰레기,
13593,13594,서울특별시,중랑구,신내동,2022,4,16,21,40,토,0,0,0,9,기타(쓰레기 화재등),부주의,담배꽁초,"종이,목재,건초등","기타(종이,목재,건초등)",,,기타,야외,기타야외,
13596,13597,서울특별시,서대문구,홍제동,2022,4,16,21,50,토,0,0,0,7,기타(쓰레기 화재등),부주의,담배꽁초,쓰레기류,쓰레기,,,기타,야외,쓰레기,
13602,13603,서울특별시,강남구,역삼동,2022,4,17,0,28,일,0,0,0,4295,"건축,구조물",부주의,가연물 근접방치,"종이,목재,건초등",종이,,,생활서비스,일상서비스,의류,
13619,13620,서울특별시,종로구,창신동,2022,4,17,7,17,일,0,0,0,0,"건축,구조물",미상,미상,쓰레기류,쓰레기,,,주거,공동주택,주상복합아파트,
13620,13621,서울특별시,강동구,암사동,2022,4,17,7,21,일,0,0,0,2936,"건축,구조물",미상,미상,미상,미상,,,주거,공동주택,아파트,
13629,13630,서울특별시,노원구,월계동,2022,4,17,10,4,일,0,0,0,4972,"건축,구조물",전기적 요인,미확인단락,"전기,전자",전선피복,상업장비,가스온수기,생활서비스,음식점,"치킨,족발",
