시도,시군구,읍면동,화재발생(년),화재발생(월),화재발생(일),화재발생(시),화재발생(분),요일,인명피해(명)소계,사망,부상,재산피해소계,화재유형,발화요인대분류,발화요인소분류,최초착화물대분류,최초착화물소분류,발화관련기기대분류,발화관련기기소분류,장소대분류,장소중분류,장소소분류,차량장소
서울특별시,성북구,정릉동,2022,1,26,12,5,수,0,0,0,9,"건축,구조물",부주의,담배꽁초,쓰레기류,쓰레기,,,주거,단독주택,다가구주택,
서울특별시,성북구,종암동,2022,1,26,21,51,수,0,0,0,25417,"건축,구조물",전기적 요인,과부하/과전류,"전기,전자","전기, 전자기기 케이스",계절용 기기,기타(계절용기기),주거,공동주택,연립주택,
서울특별시,중구,순화동,2022,1,26,23,41,수,0,0,0,112,기타(쓰레기 화재등),부주의,담배꽁초,쓰레기류,폐목재,,,기타,야외,쓰레기,
서울특별시,중구,남대문로5가,2022,1,27,3,0,목,0,0,0,26503,"건축,구조물",미상,미상,기타,기타,미상,미상,"판매,업무시설",일반업무,일반빌딩,
서울특별시,성북구,정릉동,2022,1,28,11,0,금,0,0,0,1,기타(쓰레기 화재등),부주의,쓰레기 소각,쓰레기류,쓰레기,,,기타,야외,쓰레기,
서울특별시,성북구,장위동,2022,1,29,22,45,토,0,0,0,199,"건축,구조물",전기적 요인,과부하/과전류,기타,기타,,,주거,단독주택,단독주택,
서울특별시,중구,을지로2가,2022,1,30,0,9,일,0,0,0,5,기타(쓰레기 화재등),부주의,담배꽁초,쓰레기류,쓰레기,,,기타,야외,쓰레기,
서울특별시,서대문구,남가좌동,2022,1,30,16,0,일,0,0,0,3817,"건축,구조물",전기적 요인,기타(전기적요인),"전기,전자",전선피복,,,생활서비스,일상서비스,기타 일상서비스,
서울특별시,성북구,성북동,2022,1,30,20,17,일,0,0,0,9,기타(쓰레기 화재등),부주의,담배꽁초,쓰레기류,쓰레기,,,기타,야외,쓰레기,
서울특별시,동대문구,전농동,2022,1,30,21,40,일,1,0,1,27,"건축,구조물",부주의,음식물 조리중,"침구,직물류",의류,,,주거,단독주택,다가구주택,
서울특별시,동대문구,전농동,2022,1,31,9,19,월,0,0,0,200,"건축,구조물",전기적 요인,절연열화에 의한 단락,"전기,전자","기타(전기,전자)",생활기기,전동킥보드,생활서비스,일상서비스,기타 일상서비스,
서울특별시,성북구,종암동,2022,1,31,17,1,월,0,0,0,11,"건축,구조물",부주의,음식물 조리중,식품,튀김유,,,"판매,업무시설",판매시설,할인점(마트),
서울특별시,중구,북창동,2022,1,31,18,50,월,0,0,0,60,"건축,구조물",전기적 요인,미확인단락,"전기,전자",전선피복,기타,기타,"판매,업무시설",판매시설,기타 판매시설,
서울특별시,서대문구,북가좌동,2022,7,1,0,41,금,0,0,0,440,"자동차,철도차량",기타,기타,"전기,전자",전선피복,,,"자동차,철도차량",자동차,소형 승합차,일반도로
서울특별시,서대문구,연희동,2022,7,1,7,45,금,0,0,0,180,기타(쓰레기 화재등),전기적 요인,접촉불량에 의한 단락,"전기,전자",전선피복,,,기타,야외,기타야외,
서울특별시,중구,충무로2가,2022,7,1,9,15,금,2,0,2,357783,"건축,구조물",미상,미상,미상,미상,,,"판매,업무시설",일반업무,일반회사,
서울특별시,동대문구,장안동,2022,7,1,10,22,금,0,0,0,815,"건축,구조물",전기적 요인,미확인단락,합성수지,"플라스틱, PVC, 비닐, 장판",,,"판매,업무시설",일반업무,오피스텔,
서울특별시,종로구,종로1가,2022,7,1,11,8,금,0,0,0,33,"건축,구조물",부주의,음식물 조리중,식품,튀김유,,,"판매,업무시설",판매시설,상가빌딩,
서울특별시,중구,남대문로5가,2022,7,2,7,27,토,0,0,0,35,"건축,구조물",전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,전기설비,기타(전기설비),"판매,업무시설",판매시설,상가빌딩,
서울특별시,서대문구,연희동,2022,7,2,17,26,토,0,0,0,0,기타(쓰레기 화재등),부주의,담배꽁초,"종이,목재,건초등","기타(종이,목재,건초등)",,,기타,야외,쓰레기,
서울특별시,종로구,평창동,2022,7,2,23,12,토,0,0,0,2772,"자동차,철도차량",미상,미상,미상,미상,,,"자동차,철도차량",자동차,승용자동차,일반도로
서울특별시,중구,만리동2가,2022,7,2,23,31,토,0,0,0,100,"건축,구조물",전기적 요인,과부하/과전류,"전기,전자","전기, 전자기기 기판",,,주거,공동주택,다세대주택,
서울특별시,종로구,평창동,2022,7,3,7,38,일,0,0,0,2610,"건축,구조물",미상,미상,미상,미상,,,주거,단독주택,단독주택,
서울특별시,종로구,명륜3가,2022,7,3,11,5,일,0,0,0,8,"건축,구조물",부주의,음식물 조리중,식품,음식물,,,주거,단독주택,다가구주택,
서울특별시,종로구,종로6가,2022,7,3,15,47,일,0,0,0,0,기타(쓰레기 화재등),부주의,담배꽁초,"종이,목재,건초등",종이,,,기타,야외,쓰레기,
서울특별시,서대문구,북아현동,2022,7,3,21,46,일,0,0,0,449,"건축,구조물",전기적 요인,절연열화에 의한 단락,"전기,전자","전기, 전자기기 기판","조명, 간판",LED조명,"판매,업무시설",일반업무,일반회사,
서울특별시,서대문구,북아현동,2022,7,4,13,5,월,0,0,0,11,"건축,구조물",부주의,음식물 조리중,식품,음식물,,,주거,단독주택,단독주택,
서울특별시,성북구,종암동,2022,7,4,19,32,월,0,0,0,87,"건축,구조물",전기적 요인,기타(전기적요인),"전기,전자",전선피복,,,생활서비스,일상서비스,고시원(원룸텔),
서울특별시,중구,신당동,2022,7,5,0,1,화,0,0,0,438,기타(쓰레기 화재등),제품결함,제조상결함,"전기,전자",전자기기 부속품,"차량, 선박부품",배터리,기타,야외,기타야외,
서울특별시,성북구,장위동,2022,7,5,18,27,화,0,0,0,79,"건축,구조물",전기적 요인,과부하/과전류,"전기,전자",전자기기 부속품,"조명, 간판",LED조명,주거,공동주택,아파트,
서울특별시,동대문구,장안동,2022,7,5,22,48,화,0,0,0,7686,"건축,구조물",전기적 요인,미확인단락,합성수지,"플라스틱, PVC, 비닐, 장판",,,산업시설,작업장,기타 작업장,
서울특별시,종로구,숭인동,2022,7,6,9,23,수,0,0,0,8327,"건축,구조물",미상,미상,미상,미상,,,주거,단독주택,단독주택,
서울특별시,서대문구,창천동,2022,7,6,22,12,수,0,0,0,89,"건축,구조물",전기적 요인,기타(전기적요인),"전기,전자","전기, 전자기기 기판",,,주거,단독주택,다가구주택,
서울특별시,성북구,동소문동4가,2022,7,6,22,55,수,0,0,0,1,"건축,구조물",방화의심,방화의심,"종이,목재,건초등",종이,,,주거,공동주택,아파트,
서울특별시,성북구,보문동5가,2022,7,6,23,39,수,0,0,0,165,"건축,구조물",전기적 요인,접촉불량에 의한 단락,"전기,전자",전선피복,생활기기,세탁기,주거,단독주택,다중주택,
서울특별시,동대문구,장안동,2022,7,7,19,7,목,0,0,0,55,"건축,구조물",부주의,"기기(전기, 기계 등) 사용.설치부주의",합성수지,"플라스틱, PVC, 비닐, 장판",,,주거,공동주택,아파트,
서울특별시,동대문구,휘경동,2022,7,7,22,4,목,0,0,0,983,"건축,구조물",전기적 요인,미확인단락,합성수지,"플라스틱, PVC, 비닐, 장판",,,주거,기타주택,기타 주택,
서울특별시,동대문구,용두동,2022,7,8,3,38,금,0,0,0,11,"건축,구조물",부주의,담배꽁초,"종이,목재,건초등",종이,,,"판매,업무시설",일반업무,오피스텔,
서울특별시,성북구,석관동,2022,7,9,1,44,토,0,0,0,59,"자동차,철도차량",미상,미상,미상,미상,"차량, 선박부품",라이트장치,"자동차,철도차량",자동차,승용자동차,일반도로
서울특별시,서대문구,홍은동,2022,7,9,7,16,토,0,0,0,11,기타(쓰레기 화재등),부주의,"용접, 절단, 연마","종이,목재,건초등","기타(종이,목재,건초등)",,,기타,야외,쓰레기,
서울특별시,동대문구,이문동,2022,7,9,7,42,토,0,0,0,50,"건축,구조물",부주의,음식물 조리중,식품,음식물,,,주거,단독주택,다가구주택,
서울특별시,중구,주교동,2022,7,9,11,15,토,0,0,0,240,"건축,구조물",전기적 요인,미확인단락,"전기,전자",전선피복,,,산업시설,작업장,기타 작업장,
서울특별시,서대문구,홍제동,2022,7,9,15,27,토,0,0,0,415,"건축,구조물",기타,기타,기타,기타,,,생활서비스,음식점,"치킨,족발",
서울특별시,서대문구,천연동,2022,7,10,7,57,일,0,0,0,929,"건축,구조물",기계적 요인,자동제어 실패,"전기,전자",전자기기 부속품,주방기기,냉온수기/정수기,"판매,업무시설",일반업무,기타 일반업무시설,
서울특별시,서대문구,창천동,2022,7,10,10,55,일,0,0,0,475,"건축,구조물",기계적 요인,정비불량,식품,기타(식품),주방기기,튀김기,생활서비스,음식점,일식,
서울특별시,중구,인현동1가,2022,7,10,12,30,일,0,0,0,101,기타(쓰레기 화재등),부주의,담배꽁초,"종이,목재,건초등",종이,,,기타,야외,쓰레기,
서울특별시,동대문구,용두동,2022,7,10,16,54,일,0,0,0,548,"건축,구조물",전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,계절용 기기,에어컨,주거,공동주택,아파트,
서울특별시,종로구,무악동,2022,7,11,10,39,월,0,0,0,12,"건축,구조물",부주의,음식물 조리중,식품,음식물,,,주거,공동주택,아파트,
서울특별시,종로구,동숭동,2022,7,11,12,22,월,0,0,0,0,기타(쓰레기 화재등),부주의,담배꽁초,"종이,목재,건초등",종이,,,기타,야외,쓰레기,
서울특별시,동대문구,전농동,2022,7,12,0,29,화,0,0,0,3219,"건축,구조물",전기적 요인,미확인단락,가구,소파,계절용 기기,기타(계절용기기),"판매,업무시설",일반업무,기타 일반업무시설,
서울특별시,동대문구,용두동,2022,7,12,1,44,화,1,0,1,351,"건축,구조물",부주의,음식물 조리중,식품,튀김유,주방기기,가스렌지,주거,단독주택,단독주택,
서울특별시,종로구,창신동,2022,7,12,18,38,화,0,0,0,0,기타(쓰레기 화재등),부주의,담배꽁초,쓰레기류,재활용,,,기타,야외,쓰레기,
서울특별시,중구,신당동,2022,7,13,9,23,수,0,0,0,45,"건축,구조물",부주의,음식물 조리중,식품,음식물,,,주거,단독주택,다가구주택,
서울특별시,종로구,관훈동,2022,7,13,15,29,수,0,0,0,487,"건축,구조물",전기적 요인,기타(전기적요인),"전기,전자","전기, 전자기기 내부배선",,,집합시설,전시장,기타 전시장,
서울특별시,중구,신당동,2022,7,13,15,53,수,0,0,0,347,"건축,구조물",전기적 요인,접촉불량에 의한 단락,"전기,전자",전선피복,,,"판매,업무시설",일반업무,일반빌딩,
